#time[s]	avg_velo[m/s]	positive_stream_area_fraction[]	volume[m^3]
0.001	4.714166099360536e-06	0.8868201068286615	3.4999991051675946e-09
0.005	3.4233840810927694e-05	0.9096519774891857	3.4999955427675618e-09
0.021	5.13539376007229e-05	0.8434382087671374	3.4999812213645124e-09
0.085	2.6322363383812576e-05	1.0	3.499924591301894e-09
0.341	2.8283612899696724e-05	1.0	3.499697902659599e-09
1.365	2.6541534803929124e-05	1.0	3.4988230316276588e-09
3.365	4.235608184923264e-06	0.0	3.4976547478633293e-09
5.365	4.298668142241398e-06	0.0	3.496139430246811e-09
7.365	1.376434295412583e-06	0.709690556160737	3.4944597756494955e-09
9.365	1.528525696102743e-06	0.7493016154054482	3.4927255993916625e-09
11.365	1.6873699061345739e-06	0.7860651014849953	3.490973487684193e-09
13.365	1.8387261724855855e-06	0.8182740423353632	3.4892156260950026e-09
15.365	1.9760470327987776e-06	0.845218559049597	3.487456070595541e-09
17.365000000000002	2.0976991852720485e-06	0.8683933107677125	3.485696169040608e-09
19.365000000000002	2.2041196418081535e-06	0.8865409676298578	3.4839363675043407e-09
21.365000000000002	2.2965610536509976e-06	0.9027531382491484	3.482176812055875e-09
23.365000000000002	2.37650074757706e-06	0.9157394495850459	3.48041754919509e-09
25.00001635	2.4335063907573273e-06	0.9249014605527253	3.478979564366584e-09
26.00001635	2.4335063907573273e-06	0.9249014605527253	3.478979564366584e-09
